feature,importance
daily_profit_thousands,0.5265863
daily_expenses_thousands,0.1372829
active_customers,0.10238097
revenue_per_customer,0.06974245
daily_revenue_thousands,0.06755917
employee_count,0.046566386
customer_satisfaction_score,0.0041165883
email_open_rate_percent,0.0039444524
server_uptime_percent,0.0038066662
inventory_level,0.0036689395
support_tickets,0.0032235177
product_returns,0.0029601175
conversion_rate_percent,0.002871883
units_sold,0.002861595
supplier_delays,0.0024998435
production_capacity_percent,0.0024532021
api_calls,0.002392501
churn_rate_percent,0.0023275046
customer_acquisition_cost,0.0022973309
website_visits,0.0020165064
rd_spend_thousands,0.0020030928
marketing_spend_thousands,0.0019283555
app_downloads,0.001708648
social_media_engagement,0.0015102876
avg_resolution_time_hours,0.0012908764
